iter	Passed	Remaining
0	23	11559
1	43	10872
2	64	10744
3	85	10573
4	106	10536
5	130	10740
6	147	10421
7	171	10534
8	198	10830
9	219	10755
10	240	10687
11	264	10762
12	281	10559
13	308	10699
14	337	10925
15	364	11016
16	387	11014
17	410	11001
18	437	11075
19	462	11108
20	492	11244
21	524	11397
22	544	11296
23	566	11241
24	584	11109
25	606	11053
26	628	11012
27	650	10963
28	674	10952
29	697	10929
30	716	10833
31	739	10812
32	761	10769
33	780	10693
34	803	10673
35	825	10641
36	843	10555
37	864	10509
38	882	10430
39	904	10402
40	927	10387
41	945	10305
42	965	10262
43	984	10197
44	1004	10160
45	1027	10139
46	1046	10084
47	1069	10066
48	1090	10040
49	1110	9994
50	1130	9950
51	1148	9896
52	1172	9890
53	1196	9878
54	1217	9846
55	1243	9858
56	1264	9828
57	1282	9770
58	1309	9787
59	1336	9798
60	1358	9780
61	1376	9724
62	1399	9710
63	1429	9735
64	1457	9754
65	1482	9745
66	1513	9783
67	1542	9801
68	1570	9807
69	1598	9816
70	1642	9926
71	1686	10024
72	1719	10060
73	1748	10068
74	1784	10112
75	1812	10109
76	1830	10057
77	1852	10024
78	1874	9990
79	1893	9940
80	1915	9910
81	1937	9876
82	1955	9824
83	1980	9806
84	2000	9769
85	2021	9732
86	2045	9709
87	2061	9653
88	2085	9632
89	2109	9608
90	2132	9584
91	2151	9543
92	2174	9514
93	2191	9465
94	2214	9440
95	2236	9413
96	2258	9382
97	2284	9371
98	2310	9358
99	2330	9322
100	2358	9318
101	2379	9286
102	2399	9248
103	2420	9217
104	2445	9200
105	2474	9196
106	2498	9178
107	2532	9192
108	2557	9175
109	2580	9148
110	2600	9113
111	2621	9080
112	2645	9059
113	2669	9038
114	2686	8993
115	2707	8963
116	2728	8931
117	2756	8924
118	2782	8907
119	2804	8880
120	2825	8849
121	2848	8825
122	2874	8809
123	2893	8775
124	2918	8754
125	2938	8720
126	2955	8679
127	2977	8653
128	2998	8624
129	3025	8610
130	3050	8591
131	3071	8561
132	3091	8531
133	3113	8504
134	3136	8478
135	3155	8446
136	3179	8424
137	3203	8402
138	3226	8378
139	3249	8356
140	3270	8326
141	3293	8303
142	3317	8282
143	3340	8259
144	3362	8231
145	3389	8217
146	3413	8197
147	3437	8176
148	3461	8155
149	3489	8141
150	3518	8131
151	3546	8120
152	3570	8098
153	3591	8069
154	3615	8048
155	3641	8030
156	3662	8001
157	3685	7978
158	3711	7959
159	3728	7923
160	3753	7903
161	3776	7879
162	3795	7846
163	3817	7820
164	3841	7799
165	3871	7788
166	3895	7767
167	3918	7743
168	3940	7717
169	3960	7687
170	3982	7662
171	4003	7634
172	4028	7614
173	4053	7594
174	4075	7567
175	4095	7538
176	4119	7518
177	4150	7507
178	4171	7481
179	4191	7450
180	4212	7423
181	4229	7390
182	4251	7364
183	4273	7338
184	4293	7309
185	4315	7285
186	4336	7259
187	4354	7226
188	4378	7205
189	4399	7177
190	4419	7150
191	4452	7142
192	4477	7122
