iter	Passed	Remaining
0	3	813
1	6	772
2	9	752
3	12	753
4	15	753
5	18	744
6	21	741
7	24	743
8	27	744
9	30	740
10	33	734
11	36	727
12	39	721
13	42	715
14	45	713
15	48	709
16	51	704
17	54	699
18	57	701
19	60	698
20	63	693
21	66	689
22	69	685
23	72	681
24	76	685
25	79	688
26	82	685
27	86	682
28	90	686
29	95	697
30	100	712
31	105	715
32	109	719
33	112	715
34	116	714
35	120	713
36	123	711
37	129	722
38	133	722
39	137	721
40	140	715
41	142	707
42	146	704
43	149	701
44	153	699
45	156	694
46	160	692
47	163	688
48	166	684
49	169	679
50	173	675
51	176	673
52	179	668
53	182	663
54	185	658
55	189	657
56	194	659
57	197	655
58	201	652
59	205	649
60	208	645
61	211	640
62	214	635
63	218	634
64	222	632
65	227	633
66	230	629
67	233	625
68	238	625
69	242	623
70	246	621
71	249	616
72	252	611
73	255	608
74	259	605
75	262	600
76	265	596
77	268	592
78	272	590
79	275	586
80	279	582
81	282	578
82	285	573
83	288	570
84	291	565
85	295	563
86	298	559
87	301	555
88	304	551
89	307	547
90	311	543
91	314	539
92	319	539
93	323	537
94	329	536
95	333	534
96	337	531
97	341	529
98	344	525
99	347	521
100	351	519
101	354	514
102	358	512
103	363	510
104	367	506
105	370	503
106	374	500
107	378	497
108	381	493
109	384	489
110	388	486
111	391	482
112	394	478
113	398	475
114	401	471
115	404	467
116	409	465
117	412	461
118	416	458
119	419	454
120	422	450
121	426	447
122	429	443
123	434	441
124	437	437
125	440	433
126	444	430
127	449	428
128	452	424
129	455	420
130	459	417
131	463	414
132	466	410
133	469	406
134	472	402
135	476	399
136	479	395
137	482	391
138	486	388
139	490	385
140	493	381
141	497	378
142	500	374
143	503	370
144	506	366
145	510	363
146	515	361
147	518	357
148	521	353
149	524	349
150	528	346
151	531	342
152	535	339
153	539	336
154	544	333
155	548	330
156	553	327
157	557	324
158	560	320
159	564	317
160	568	314
161	572	311
162	575	307
163	578	303
164	581	299
165	584	296
166	588	292
167	591	288
168	594	284
169	598	281
170	601	277
171	604	274
172	607	270
173	611	267
174	615	263
175	619	260
176	622	256
177	625	253
178	629	249
179	633	246
180	638	243
181	642	239
182	645	236
183	649	233
184	653	229
185	656	225
186	660	222
187	663	218
188	667	215
189	670	211
190	673	207
191	677	204
192	682	201
193	686	198
194	690	194
195	693	191
196	697	187
197	702	184
198	707	181
199	712	178
200	715	174
201	720	171
202	724	167
203	728	164
204	731	160
205	735	157
206	739	153
207	743	150
208	746	146
209	751	143
210	755	139
211	759	136
212	762	132
213	767	129
214	772	125
215	776	122
216	779	118
217	783	115
218	786	111
219	789	107
220	793	104
221	797	100
222	800	96
223	804	93
224	809	89
225	813	86
226	817	82
227	821	79
228	825	75
229	828	72
230	831	68
231	835	64
232	838	61
233	843	57
234	848	54
235	851	50
236	854	46
237	858	43
238	861	39
239	864	36
240	868	32
241	871	28
242	874	25
243	877	21
244	880	17
245	884	14
246	887	10
247	891	7
248	895	3
249	899	0
